"REC","TGT","YDS","YPR","LG","X20.","TD","ATT","RuYD","RuTD","FL","G","FPTS","Week"
1,2,12,12,12,0,1,0,0,0,0,1,8.2,2
4,5,39,9.8,17,0,0,0,0,0,0,1,7.9,2
5,6,28,5.6,10,0,0,0,0,0,0,1,7.8,2
2,3,57,28.5,39,2,0,0,0,0,0,1,7.7,2
3,4,49,16.3,30,2,0,1,-4,0,0,1,7.5,2
4,6,35,8.8,12,0,0,0,0,0,0,1,7.5,2
3,8,34,11.3,23,1,0,1,8,0,0,1,7.2,2
1,2,2,2,2,0,1,0,0,0,0,1,7.2,2
2,3,50,25,39,2,0,0,0,0,0,1,7,2
3,4,37,12.3,24,1,0,0,0,0,0,1,6.7,2
3,3,37,12.3,20,1,0,0,0,0,0,1,6.7,2
4,6,26,6.5,11,0,0,0,0,0,0,1,6.6,2
3,7,16,5.3,10,0,0,0,0,0,0,1,6.6,2
4,5,25,6.3,10,0,0,0,0,0,0,1,6.5,2
3,5,41,13.7,18,0,0,1,-6,0,0,1,6.5,2
3,5,33,11,13,0,0,0,0,0,0,1,6.3,2
2,4,39,19.5,30,2,0,0,0,0,0,1,5.9,2
2,2,17,8.5,16,0,0,0,0,0,0,1,5.7,2
2,3,37,18.5,28,1,0,0,0,0,0,1,5.7,2
3,4,23,7.7,10,0,0,0,0,0,0,1,5.3,2
2,3,28,14,16,0,0,0,0,0,0,1,4.8,2
2,3,27,13.5,20,1,0,0,0,0,0,1,4.7,2
2,2,25,12.5,15,0,0,0,0,0,0,1,4.5,2
2,6,24,12,17,0,0,0,0,0,0,1,4.4,2
3,5,32,10.7,19,0,0,0,0,0,1,1,4.2,2
3,3,10,3.3,4,0,0,0,0,0,0,1,4,2
3,3,9,3,9,0,0,0,0,0,0,1,3.9,2
2,3,16,8,10,0,0,0,0,0,0,1,3.6,2
2,3,16,8,8,0,0,0,0,0,0,1,3.6,2
1,2,7,7,7,0,0,1,17,0,0,1,3.4,2
2,4,14,7,9,0,0,0,0,0,0,1,3.4,2
2,2,14,7,8,0,0,0,0,0,0,1,3.4,2
1,2,23,23,23,1,0,0,0,0,0,1,3.3,2
1,3,23,23,23,1,0,0,0,0,0,1,3.3,2
2,7,13,6.5,7,0,0,0,0,0,0,1,3.3,2
2,2,12,6,11,0,0,0,0,0,0,1,3.2,2
1,1,20,20,20,1,0,0,0,0,0,1,3,2
2,2,9,4.5,12,0,0,0,0,0,0,1,2.9,2
1,1,17,17,17,0,0,0,0,0,0,1,2.7,2
1,2,16,16,16,0,0,0,0,0,0,1,2.6,2
1,2,16,16,16,0,0,0,0,0,0,1,2.6,2
1,4,13,13,13,0,0,0,0,0,0,1,2.3,2
0,0,0,0,0,0,0,2,22,0,0,1,2.2,2
1,3,11,11,11,0,0,1,1,0,0,1,2.2,2
1,2,11,11,11,0,0,0,0,0,0,1,2.1,2
2,3,0,0,2,0,0,0,0,0,0,1,2,2
0,1,0,0,0,0,0,1,19,0,0,1,1.9,2
1,2,9,9,9,0,0,0,0,0,0,1,1.9,2
1,1,9,9,9,0,0,0,0,0,0,1,1.9,2
1,1,6,6,6,0,0,0,0,0,0,1,1.6,2
1,1,6,6,6,0,0,0,0,0,0,1,1.6,2
1,1,6,6,6,0,0,0,0,0,0,1,1.6,2
1,2,4,4,4,0,0,0,0,0,0,1,1.4,2
1,2,2,2,2,0,0,0,0,0,0,1,1.2,2
1,6,2,2,2,0,0,0,0,0,0,1,1.2,2
1,2,-4,-4,0,0,0,0,0,0,0,1,0.6,2
0,0,0,0,0,0,0,1,3,0,0,1,0.3,2
0,1,0,0,0,0,0,2,1,0,0,1,0.1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
