"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"82","K.J. Osborn (MIN)","3","4","14","4.7","7","0","0","0","0","0","0","1","4.4","4.4","3.4%"
"83","Marquise Goodwin (SEA)","2","2","22","11.0","16","0","0","0","0","0","0","1","4.2","4.2","1.4%"
"84","Kenny Golladay (NYG)","2","2","22","11.0","15","0","0","0","0","0","0","1","4.2","4.2","6.8%"
"85","Skyy Moore (KC)","1","1","30","30.0","30","2","0","0","0","0","0","1","4.0","4.0","12.7%"
"86","Joshua Palmer (LAC)","3","4","5","1.7","5","0","0","1","4","0","0","1","3.9","3.9","74.3%"
"87","Demarcus Robinson (BAL)","2","4","19","9.5","11","0","0","0","0","0","0","1","3.9","3.9","11.9%"
"88","Josh Reynolds (DET)","1","3","28","28.0","28","1","0","0","0","0","0","1","3.8","3.8","6.4%"
"89","Nelson Agholor (NE)","3","5","28","9.3","17","0","0","0","0","0","1","1","3.8","3.8","1.8%"
"90","Dennis Houston (DAL)","2","5","16","8.0","11","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"91","Mike Thomas (FA)","1","5","5","5.0","5","0","0","0","0","0","0","1","3.5","3.5","0.1%"
"92","Randall Cobb (GB)","2","3","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","5.8%"
"93","A.J. Green (ARI)","2","4","13","6.5","8","0","0","0","0","0","0","1","3.3","3.3","1.7%"
"94","Russell Gage (TB)","2","2","13","6.5","7","0","0","0","0","0","0","1","3.3","3.3","17.6%"
"95","Simi Fehoko (DAL)","2","3","12","6.0","7","0","0","0","0","0","0","1","3.2","3.2","0.0%"
"96","Byron Pringle (CHI)","1","2","22","22.0","22","1","0","0","0","0","0","1","3.2","3.2","0.2%"
"97","Cody Hollister (TEN)","1","1","22","22.0","22","1","0","0","0","0","0","1","3.2","3.2","0.0%"
"98","Mike Williams (LAC)","2","4","10","5.0","6","0","0","0","0","0","0","1","3.0","3.0","94.3%"
"99","Ray-Ray McCloud (SF)","1","2","20","20.0","20","1","0","0","0","0","0","1","3.0","3.0","0.6%"
"100","Juwann Winfree (GB)","1","1","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"101","Mack Hollins (LV)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","25.6%"
"102","Nick Westbrook-Ikhine (TEN)","1","2","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","3.2%"
"103","Robert Woods (TEN)","1","2","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","44.3%"
"104","Kadarius Toney (KC)","0","0","0","0","0","0","0","2","23","0","0","1","2.3","2.3","40.1%"
"105","Brandon Powell (LAR)","1","1","10","10.0","10","0","0","1","3","0","0","1","2.3","2.3","0.3%"
"106","Jamal Agnew (JAC)","1","1","6","6.0","6","0","0","1","6","0","0","1","2.2","2.2","0.4%"
"107","Shi Smith (CAR)","1","3","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.1%"
"108","Allen Robinson II (LAR)","1","2","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","38.4%"
"109","Andy Isabella (BAL)","1","3","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"110","DeVante Parker (NE)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","13.6%"
"111","Darnell Mooney (CHI)","1","3","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","39.6%"
"112","Trent Sherfield (MIA)","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","2.2%"
"113","Zach Pascal (PHI)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.1%"
"114","Wan'Dale Robinson (NYG)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","6.0%"
"115","Deonte Harty (NO)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"116","George Pickens (PIT)","1","3","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","69.5%"
"117","Dee Eskridge (SEA)","1","2","0","0.0","0","0","0","0","0","0","0","1","1.0","1.0","0.3%"
"118","Jaelon Darden (CLE)","0","0","0","0","0","0","0","1","2","0","0","1","0.2","0.2","0.0%"
"119","Tylan Wallace (BAL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"120","Rondale Moore (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.0%"
"121","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"122","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Isaiah Zuber (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Cody White (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Kendall Hinton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"127","Kristian Wilkerson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Dezmon Patmon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Marquez Callaway (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"131","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Van Jefferson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.0%"
"133","Joe Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Quintez Cephus (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"135","Lynn Bowden Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Lawrence Cager (NYG)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"137","Ja'Marcus Bradley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Freddie Swain (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"140","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Tyrie Cleveland (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"142","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Binjimen Victor (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Marquez Stevenson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Amari Rodgers (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"146","Tutu Atwell (LAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"147","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Demetric Felton Jr. (CLE)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"150","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Dazz Newsome (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Isaiah Hodgins (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"153","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Ihmir Smith-Marsette (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
