y1_statefips,state_abb,state_name,y2_statefips,y2_state,y2_state_name,n1,n2,AGI,n2_log_base2,AGI_per_person,log10AGI,region,log_base_e_AGI_per_person
41,OR,oregon,46,SD,south dakota,191,347,11008000,8.43879185257826,31723.3429394813,7.04170842089144,south dakota,10.3648080592084
41,OR,oregon,38,ND,north dakota,189,352,22346000,8.4594316186373,63482.9545454545,7.34919979443,north dakota,11.0585267164913
41,OR,oregon,23,ME,maine,181,311,11045000,8.2807707701306,35514.4694533762,7.04316572020745,maine,10.4776954826571
41,OR,oregon,9,CT,connecticut,159,251,12664000,7.97154355395077,50454.1832669323,7.1025709018543,connecticut,10.8288209414112
41,OR,oregon,28,MS,mississippi,156,308,8296000,8.2667865406949,26935.0649350649,6.91886874338098,mississippi,10.2011842459179
41,OR,oregon,33,NH,new hampshire,154,235,15300000,7.876516946565,65106.3829787234,7.1846914308176,new hampshire,11.0837778722185
41,OR,oregon,50,VT,vermont,146,218,13495000,7.76818432477693,61903.6697247706,7.13017288889254,vermont,11.0333347416452
41,OR,oregon,11,DC,district of columbia,116,146,7436000,7.18982455888002,50931.5068493151,6.87133938109986,district of columbia,10.8382370061151
41,OR,oregon,44,RI,rhode island,76,105,4040000,6.71424551766612,38476.1904761905,6.6063813651106,rhode island,10.5577948997798
41,OR,oregon,54,WV,west virginia,65,114,3242000,6.83289001416474,28438.5964912281,6.5108130105125,west virginia,10.2555025328833
41,OR,oregon,10,DE,delaware,45,62,2544000,5.95419631038687,41032.2580645161,6.40551710697638,delaware,10.6221138183971
42,PA,pennsylvania,42,PA,pennsylvania,4959161,10178812,413381564000,23.2790658541396,40611.9657185927,11.6163511040484,pennsylvania,10.6118180243006
42,PA,pennsylvania,12,FL,florida,15243,27599,1877792000,14.7523283740465,68038.4071886663,9.27364748449288,florida,11.1278276363102
42,PA,pennsylvania,34,NJ,new jersey,15142,26124,1222377000,14.6730881929094,46791.3412953606,9.08720516971079,new jersey,10.7534534497319
42,PA,pennsylvania,36,NY,new york,11009,17684,721941000,14.1101570189541,40824.5306491744,8.85850170668123,new york,10.6170384211204
42,PA,pennsylvania,24,MD,maryland,7149,12077,512897000,13.5599745045237,42468.9078413513,8.71003015882934,maryland,10.6565275069736
42,PA,pennsylvania,6,CA,california,6279,9317,533955000,13.1856497779695,57309.7563593431,8.72750465763683,california,10.9562261562602
42,PA,pennsylvania,37,NC,north carolina,6229,11566,475487000,13.4976023867835,41110.7556631506,8.67713864765525,north carolina,10.6240250612153
42,PA,pennsylvania,51,VA,virginia,5842,9980,414700000,13.2848241002246,41553.1062124248,8.61773403536402,virginia,10.6347275559111
42,PA,pennsylvania,48,TX,texas,5484,10435,464690000,13.3491429800472,44531.8639195017,8.66716332668255,texas,10.7039602550526
42,PA,pennsylvania,39,OH,ohio,5384,9570,337255000,13.2243032093734,35240.8568443051,8.52795839705799,ohio,10.4699613942921
42,PA,pennsylvania,10,DE,delaware,5382,9791,409103000,13.2572405011166,41783.576754162,8.61183266424212,delaware,10.640258640689
42,PA,pennsylvania,45,SC,south carolina,3708,7133,361099000,12.8002932582234,50623.7207346138,8.55762628572651,south carolina,10.8321755346498
42,PA,pennsylvania,13,GA,georgia,3352,6549,225592000,12.6770589157119,34446.7857688197,8.3533236945247,georgia,10.4471709707485
42,PA,pennsylvania,25,MA,massachusetts,2626,3929,255227000,11.9399464524587,64959.7862051413,8.40692661570256,massachusetts,11.0815236836531
42,PA,pennsylvania,8,CO,colorado,2494,3747,195900000,11.8715202623291,52281.8254603683,8.29203443599474,colorado,10.8644040841211
42,PA,pennsylvania,4,AZ,arizona,2034,3502,241019000,11.7739633684336,68823.243860651,8.38205128020932,arizona,11.1392968136758
