y1_statefips,state_abb,state_name,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
5,AR,Arkansas,31,NE,Nebraska,199,412,11246
5,AR,Arkansas,24,MD,Maryland,196,349,12593
5,AR,Arkansas,34,NJ,New Jersey,155,281,12126
5,AR,Arkansas,16,ID,Idaho,131,257,6845
5,AR,Arkansas,25,MA,Massachusetts,119,201,8262
5,AR,Arkansas,38,ND,North Dakota,101,231,5394
5,AR,Arkansas,2,AK,Alaska,95,219,5815
5,AR,Arkansas,30,MT,Montana,93,204,5002
5,AR,Arkansas,15,HI,Hawaii,86,160,3363
5,AR,Arkansas,54,WV,West Virginia,82,187,4696
5,AR,Arkansas,46,SD,South Dakota,82,166,6973
5,AR,Arkansas,56,WY,Wyoming,76,176,4409
5,AR,Arkansas,9,CT,Connecticut,65,103,4255
5,AR,Arkansas,23,ME,Maine,50,124,3003
5,AR,Arkansas,11,DC,District Of Columbia,41,64,2156
5,AR,Arkansas,10,DE,Delaware,37,66,2314
5,AR,Arkansas,44,RI,Rhode Island,29,51,2137
5,AR,Arkansas,33,NH,New Hampshire,26,42,1091
5,AR,Arkansas,50,VT,Vermont,20,39,1071
6,CA,California,96,CA,CA Total Migration-US and Foreign,370083,684935,38712357
6,CA,California,97,CA,CA Total Migration-US,365922,676058,38452732
6,CA,California,98,CA,CA Total Migration-Foreign,4161,8877,259625
6,CA,California,97,CA,CA Total Migration-Same State,531460,951125,47466063
6,CA,California,6,CA,CA Non-migrants,14346465,30716192,1463562594
6,CA,California,48,TX,Texas,42892,87707,4569503
6,CA,California,4,AZ,Arizona,33571,63098,2995529
6,CA,California,32,NV,Nevada,29715,54639,3018420
6,CA,California,53,WA,Washington,26999,46551,3145876
6,CA,California,41,OR,Oregon,20816,35204,1789528
6,CA,California,12,FL,Florida,18390,33359,2940996
6,CA,California,8,CO,Colorado,15485,26779,1795240
6,CA,California,36,NY,New York,14993,20572,2117838
6,CA,California,16,ID,Idaho,11528,25957,1271483
6,CA,California,37,NC,North Carolina,9906,19908,953693
6,CA,California,51,VA,Virginia,9422,18758,880135
6,CA,California,49,UT,Utah,9111,19821,1021019
6,CA,California,13,GA,Georgia,8898,17131,788336
6,CA,California,17,IL,Illinois,8752,14265,1150705
6,CA,California,47,TN,Tennessee,8092,16649,842546
6,CA,California,25,MA,Massachusetts,6275,9465,834597
6,CA,California,42,PA,Pennsylvania,6200,10070,618822
6,CA,California,15,HI,Hawaii,5829,10667,589843
6,CA,California,39,OH,Ohio,5656,10029,480554
6,CA,California,26,MI,Michigan,5363,9461,464966
6,CA,California,34,NJ,New Jersey,5000,8086,587517
6,CA,California,29,MO,Missouri,4734,9336,353126
6,CA,California,24,MD,Maryland,4570,8045,406156
6,CA,California,57,FR,Foreign,4161,8877,259625
6,CA,California,35,NM,New Mexico,3839,6999,334629
6,CA,California,40,OK,Oklahoma,3807,7984,151132
6,CA,California,45,SC,South Carolina,3774,7609,331203
6,CA,California,27,MN,Minnesota,3770,6542,369398
6,CA,California,18,IN,Indiana,3487,6626,269265
6,CA,California,30,MT,Montana,3220,6079,439822
6,CA,California,55,WI,Wisconsin,3101,5446,253351
6,CA,California,5,AR,Arkansas,2455,5209,184105
6,CA,California,20,KS,Kansas,2394,4721,166151
6,CA,California,22,LA,Louisiana,2334,4192,163468
6,CA,California,9,CT,Connecticut,2326,3788,301193
6,CA,California,1,AL,Alabama,2282,4593,182022
6,CA,California,21,KY,Kentucky,2043,4067,139704
6,CA,California,19,IA,Iowa,1763,3312,116466
6,CA,California,11,DC,District Of Columbia,1653,2138,214156
6,CA,California,31,NE,Nebraska,1440,2881,91769
6,CA,California,2,AK,Alaska,1339,2352,76609
6,CA,California,56,WY,Wyoming,1199,2409,345557
6,CA,California,28,MS,Mississippi,1166,2315,77591
6,CA,California,46,SD,South Dakota,1098,2131,93084
6,CA,California,33,NH,New Hampshire,1079,1845,120732
